Date,Value,Anomaly
194809,61.1,4.3
194909,55.7,-1.1
195009,54.9,-1.9
195109,51.8,-5.0
195209,61.1,4.3
195309,59.5,2.7
195409,58.3,1.5
195509,56.8,0.0
195609,58.3,1.5
195709,55.1,-1.7
195809,57.7,0.9
195909,55.2,-1.6
196009,58.4,1.6
196109,49.0,-7.8
196209,54.9,-1.9
196309,63.6,6.8
196409,53.4,-3.4
196509,46.5,-10.3
196609,60.7,3.9
196709,58.3,1.5
196809,54.9,-1.9
196909,59.6,2.8
197009,53.0,-3.8
197109,53.6,-3.2
197209,54.2,-2.6
197309,54.0,-2.8
197409,53.7,-3.1
197509,55.9,-0.9
197609,58.6,1.8
197709,56.6,-0.2
197809,58.2,1.4
197909,61.4,4.6
198009,57.8,1.0
198109,60.5,3.7
198209,55.8,-1.0
198309,57.3,0.5
198409,52.5,-4.3
198509,51.6,-5.2
198609,52.4,-4.4
198709,57.9,1.1
198809,57.0,0.2
198909,57.8,1.0
199009,63.2,6.4
199109,58.7,1.9
199209,57.8,1.0
199309,54.0,-2.8
199409,61.4,4.6
199509,57.3,0.5
199609,57.3,0.5
199709,61.3,4.5
199809,64.3,7.5
199909,55.0,-1.8
200009,58.0,1.2
200109,61.4,4.6
200209,59.3,2.5
200309,57.1,0.3
200409,57.7,0.9
200509,60.2,3.4
200609,57.0,0.2
200709,59.3,2.5
200809,54.9,-1.9
200909,62.2,5.4
201009,58.6,1.8
201109,60.8,4.0
201209,61.3,4.5
201309,62.3,5.5
201409,58.1,1.3
201509,64.0,7.2
201609,59.7,2.9
201709,57.3,0.5
201809,57.4,0.6
201909,60.1,3.3
202009,61.0,4.2
