user_id,timestamp,is_gone,correct,wrong,discovered,passed,started_attempt,viewed,unique_days,passed_course
1,1472827464,True,0.0,0.0,1,0,0,1,1,False
2,1519226966,True,2.0,0.0,9,9,2,10,2,False
3,1444581588,True,29.0,23.0,91,87,30,192,7,False
5,1499859939,True,2.0,2.0,11,11,4,12,2,False
7,1521634660,True,0.0,0.0,1,1,0,1,1,False
8,1481466913,True,9.0,21.0,109,84,37,156,2,False
9,1484999497,True,0.0,0.0,3,3,0,4,1,False
11,1526140625,False,0.0,0.0,1,0,1,1,1,False
14,1436368676,True,0.0,1.0,4,3,1,9,1,False
16,1513162585,True,77.0,106.0,196,196,108,651,21,True
17,1465765342,True,0.0,2.0,6,5,1,13,1,False
18,1438541223,True,0.0,0.0,3,2,0,3,1,False
20,1443033703,True,0.0,0.0,10,8,0,13,1,False
22,1507142631,True,76.0,47.0,198,198,89,492,32,True
24,1524764853,False,0.0,0.0,1,1,0,2,1,False
25,1524816605,False,1.0,4.0,26,20,10,40,2,False
26,1476957222,True,7.0,16.0,27,25,7,32,2,False
28,1442305755,True,0.0,0.0,1,1,0,2,1,False
30,1510574287,True,119.0,79.0,198,198,150,512,42,True
31,1485686263,True,4.0,5.0,27,24,7,34,2,False
32,1524752239,False,3.0,0.0,14,13,4,22,3,False
33,1438706621,True,0.0,0.0,4,3,1,4,1,False
34,1525626844,False,77.0,85.0,198,195,92,1013,60,True
36,1515618497,True,0.0,0.0,1,1,0,1,1,False
37,1513779501,True,2.0,0.0,10,9,4,15,5,False
38,1436271885,True,0.0,0.0,1,0,0,1,1,False
39,1502712399,True,77.0,29.0,198,198,88,1160,170,True
41,1464284275,True,0.0,0.0,3,1,0,5,1,False
42,1449325382,True,0.0,0.0,1,1,0,1,1,False
43,1498305920,True,6.0,3.0,119,89,13,206,5,False
44,1502803818,True,2.0,0.0,11,11,2,16,1,False
46,1436111741,True,28.0,8.0,65,65,28,78,4,False
47,1434706815,True,0.0,0.0,10,8,0,12,1,False
48,1483524607,True,0.0,0.0,1,0,0,1,1,False
49,1464974754,True,8.0,4.0,53,49,10,77,8,False
50,1502734170,True,8.0,3.0,25,24,9,92,4,False
51,1452172181,True,0.0,0.0,1,0,0,8,3,False
52,1436799256,True,0.0,0.0,1,0,0,3,3,False
53,1516013330,True,0.0,0.0,12,6,7,17,1,False
54,1509459472,True,9.0,23.0,31,30,10,90,5,False
56,1521819682,True,0.0,0.0,1,1,0,1,1,False
57,1525253230,False,15.0,29.0,43,41,17,87,5,False
59,1472731625,True,0.0,0.0,1,1,0,1,1,False
60,1507726445,True,76.0,32.0,193,193,86,276,21,True
63,1521029988,True,8.0,3.0,23,23,11,23,1,False
64,1511712379,True,0.0,0.0,3,3,0,3,1,False
65,1435291254,True,0.0,0.0,9,7,0,9,1,False
66,1440342929,True,76.0,39.0,193,193,113,596,23,True
67,1513797005,True,30.0,43.0,84,79,48,241,8,False
68,1454251315,True,2.0,2.0,7,7,4,24,3,False
69,1445319709,True,0.0,0.0,5,4,0,5,1,False
70,1495960644,True,7.0,54.0,24,22,8,106,7,False
71,1477237147,True,0.0,0.0,3,3,0,3,1,False
73,1437469301,True,72.0,114.0,184,176,83,412,15,True
75,1520607766,True,9.0,0.0,51,35,29,148,5,False
76,1506251972,True,2.0,1.0,70,65,9,143,4,False
77,1526377591,False,0.0,0.0,2,0,2,3,1,False
78,1525639443,False,2.0,0.0,11,11,2,13,1,False
79,1518474372,True,0.0,0.0,1,1,0,1,1,False
80,1489798576,True,76.0,43.0,198,198,80,393,7,True
82,1436322965,True,0.0,0.0,1,1,0,2,1,False
85,1508922310,True,0.0,0.0,1,0,1,1,1,False
86,1509486999,True,0.0,0.0,1,0,1,3,1,False
87,1501927594,True,76.0,73.0,196,196,98,426,69,True
88,1496315829,True,0.0,0.0,3,1,0,3,1,False
89,1506975198,True,61.0,41.0,132,131,73,221,15,False
91,1501277707,True,13.0,16.0,33,32,14,112,4,False
94,1511517726,True,19.0,44.0,76,63,29,237,9,False
95,1470351288,True,5.0,4.0,20,19,8,26,1,False
96,1505236884,True,2.0,0.0,10,10,2,14,1,False
97,1510873925,True,2.0,3.0,9,9,5,16,1,False
100,1499514062,True,9.0,5.0,28,28,14,42,2,False
101,1501858802,True,2.0,0.0,6,6,2,7,2,False
103,1495617426,True,0.0,0.0,3,3,0,4,1,False
104,1522746195,True,15.0,3.0,42,40,21,129,8,False
106,1478864416,True,0.0,0.0,1,0,0,2,1,False
108,1458250411,True,2.0,5.0,13,12,3,20,2,False
110,1508101758,True,0.0,0.0,1,1,0,1,1,False
111,1500369494,True,65.0,106.0,157,153,80,403,20,False
114,1438133563,True,0.0,0.0,1,1,0,3,3,False
115,1521667318,True,18.0,97.0,58,50,28,122,8,False
116,1510873865,True,0.0,0.0,2,2,0,2,1,False
117,1506334995,True,0.0,0.0,1,0,1,1,1,False
118,1516040675,True,7.0,1.0,21,21,9,25,3,False
120,1517750751,True,2.0,0.0,10,10,2,10,1,False
121,1515879284,True,4.0,0.0,14,12,5,67,2,False
123,1463225842,True,0.0,0.0,15,11,0,23,5,False
125,1475873626,True,0.0,0.0,4,4,0,5,1,False
126,1441306071,True,0.0,0.0,1,1,0,2,1,False
127,1443463230,True,8.0,7.0,32,28,10,57,3,False
128,1476349922,True,0.0,0.0,1,1,0,1,1,False
129,1436279722,True,13.0,7.0,43,38,15,120,22,False
130,1435775938,True,2.0,0.0,11,11,2,17,4,False
131,1435771170,True,0.0,0.0,6,2,0,10,3,False
132,1497518679,True,0.0,0.0,3,3,0,4,1,False
133,1441025254,True,6.0,24.0,25,23,11,40,1,False
134,1489403903,True,0.0,0.0,18,17,0,20,2,False
135,1470244739,True,0.0,0.0,2,2,0,3,1,False
137,1434807899,True,0.0,0.0,1,0,0,1,1,False
138,1482566549,True,32.0,17.0,78,78,33,128,13,False
139,1487412210,True,0.0,0.0,2,2,0,2,1,False
142,1524171743,True,0.0,0.0,3,2,1,6,2,False
144,1504275219,True,2.0,0.0,12,12,2,12,1,False
145,1464540227,True,19.0,30.0,142,129,20,212,8,False
146,1523085433,True,0.0,0.0,1,1,0,1,1,False
147,1495981426,True,0.0,0.0,45,32,4,108,7,False
148,1503575615,True,15.0,4.0,42,41,17,96,12,False
149,1524591350,False,77.0,23.0,198,198,83,382,16,True
151,1523983777,True,0.0,0.0,1,1,0,5,2,False
152,1521650490,True,2.0,2.0,11,11,4,12,1,False
154,1446315679,True,0.0,0.0,5,5,0,6,1,False
156,1524577767,False,2.0,0.0,10,10,2,11,2,False
157,1518013305,True,45.0,94.0,132,117,68,915,37,False
158,1466166317,True,0.0,0.0,9,9,0,9,3,False
160,1468572778,True,0.0,0.0,2,1,0,2,1,False
161,1525504580,False,2.0,0.0,12,12,2,17,5,False
163,1461895692,True,0.0,0.0,1,1,0,1,1,False
166,1504012530,True,81.0,116.0,193,193,94,665,29,True
168,1526761797,False,11.0,3.0,28,28,11,31,2,False
169,1512334999,True,28.0,11.0,72,70,35,169,7,False
170,1436742582,True,0.0,0.0,1,0,0,1,1,False
171,1480604319,True,1.0,9.0,11,9,7,16,4,False
172,1457744134,True,0.0,0.0,4,3,0,4,1,False
173,1477417689,True,0.0,0.0,3,1,0,3,1,False
175,1487706220,True,3.0,0.0,13,12,15,35,2,False
176,1492280094,True,2.0,0.0,8,8,2,8,1,False
178,1512080340,True,76.0,21.0,187,187,80,333,15,True
179,1508689907,True,1.0,0.0,2,2,1,2,1,False
181,1509723220,True,0.0,0.0,1,0,1,1,1,False
182,1476868650,True,0.0,0.0,1,1,0,2,1,False
183,1497833151,True,27.0,23.0,61,61,32,136,3,False
184,1514452826,True,2.0,0.0,13,12,3,13,1,False
187,1483385795,True,2.0,1.0,17,14,3,29,2,False
188,1444220369,True,0.0,0.0,9,9,0,13,3,False
189,1510774947,True,0.0,0.0,1,1,0,1,1,False
190,1437904815,True,0.0,0.0,1,1,0,1,1,False
191,1484852919,True,0.0,0.0,7,5,2,9,1,False
192,1473253383,True,3.0,0.0,6,8,3,6,1,False
193,1526725731,False,51.0,75.0,133,131,70,254,12,False
194,1463681586,True,0.0,0.0,2,2,0,2,1,False
196,1502817349,True,8.0,14.0,24,23,9,35,4,False
197,1520342510,True,9.0,27.0,31,30,11,62,2,False
199,1509099731,True,0.0,0.0,1,0,1,1,1,False
201,1440693819,True,0.0,0.0,1,1,0,1,1,False
202,1515354631,True,78.0,103.0,198,197,98,368,5,True
203,1443875865,True,0.0,0.0,1,0,0,1,1,False
209,1443100049,True,0.0,0.0,1,1,0,1,1,False
210,1443513865,True,0.0,0.0,1,0,0,1,1,False
211,1518710080,True,0.0,0.0,2,0,1,2,1,False
214,1514405491,True,84.0,59.0,198,198,93,701,41,True
215,1486810827,True,15.0,6.0,40,39,15,46,4,False
216,1521489332,True,0.0,0.0,1,1,0,1,1,False
219,1435608339,True,2.0,0.0,13,12,2,27,3,False
220,1521238099,True,36.0,26.0,97,97,39,490,21,False
221,1522316850,True,0.0,0.0,1,0,1,1,1,False
222,1522821793,True,0.0,0.0,1,1,0,1,1,False
223,1447866784,True,2.0,0.0,10,10,2,10,1,False
224,1497728157,True,0.0,0.0,3,3,0,5,1,False
225,1499884425,True,3.0,0.0,16,15,3,33,5,False
226,1437474288,True,75.0,91.0,167,167,89,393,9,False
227,1480749515,True,77.0,56.0,196,196,86,364,23,True
228,1517926817,True,0.0,0.0,3,3,0,3,1,False
229,1521493420,True,17.0,11.0,74,66,28,120,8,False
230,1483822937,True,65.0,62.0,196,185,102,508,13,True
231,1436630620,True,35.0,18.0,91,90,36,97,4,False
232,1511368234,True,3.0,2.0,18,17,5,46,3,False
233,1436103761,True,0.0,0.0,1,1,0,1,1,False
238,1476686806,True,0.0,0.0,1,0,0,1,1,False
239,1444298305,True,6.0,0.0,19,19,6,27,3,False
240,1436297061,True,5.0,6.0,22,20,5,35,4,False
243,1436826227,True,8.0,4.0,25,24,8,66,4,False
244,1461749129,True,0.0,0.0,1,1,0,2,2,False
245,1461089424,True,0.0,0.0,2,2,0,2,1,False
246,1523253250,True,49.0,53.0,106,105,62,425,37,False
247,1513508177,True,0.0,0.0,44,37,7,62,2,False
249,1496476063,True,0.0,0.0,13,7,1,14,2,False
250,1434967103,True,12.0,33.0,34,34,13,64,4,False
251,1496835186,True,37.0,18.0,93,93,39,131,3,False
252,1506534944,True,0.0,0.0,1,1,0,1,1,False
254,1436739186,True,0.0,0.0,1,1,0,1,1,False
255,1472670815,True,2.0,0.0,15,15,2,18,2,False
256,1474476852,True,0.0,0.0,1,0,0,1,1,False
257,1502969912,True,0.0,0.0,1,0,1,1,1,False
258,1504548847,True,1.0,0.0,4,4,1,4,1,False
259,1467701220,True,1.0,0.0,7,6,1,13,1,False
262,1450549320,True,0.0,0.0,1,1,0,1,1,False
263,1494779392,True,19.0,5.0,54,53,19,64,4,False
264,1526536286,False,3.0,5.0,22,18,11,50,4,False
265,1512475532,True,0.0,0.0,1,1,0,1,1,False
266,1435685954,True,0.0,0.0,3,2,0,4,1,False
267,1442923762,True,0.0,0.0,1,1,0,1,1,False
268,1464810303,True,0.0,0.0,3,1,2,3,1,False
270,1508944365,True,0.0,0.0,3,3,0,3,1,False
272,1520417087,True,0.0,0.0,7,6,1,8,4,False
274,1517425250,True,0.0,0.0,1,1,0,1,1,False
275,1512470068,True,77.0,170.0,198,198,145,582,31,True
277,1436083708,True,2.0,0.0,8,8,2,19,1,False
278,1499612587,True,0.0,0.0,1,1,0,2,2,False
279,1472565867,True,67.0,114.0,160,152,106,416,21,False
280,1500018519,True,0.0,0.0,1,0,1,1,1,False
281,1468669685,True,0.0,0.0,118,108,0,206,1,False
282,1435572454,True,2.0,0.0,10,10,2,22,2,False
284,1513713295,True,73.0,37.0,193,190,91,387,36,True
285,1461694994,True,0.0,0.0,1,0,0,1,1,False
286,1505920224,True,0.0,0.0,9,6,3,9,1,False
287,1525095933,False,3.0,6.0,34,23,19,39,2,False
290,1494234735,True,2.0,0.0,16,16,2,44,4,False
291,1518980131,True,0.0,0.0,18,15,3,28,2,False
293,1526236915,False,0.0,0.0,1,1,0,1,1,False
294,1448389278,True,30.0,10.0,74,73,31,119,11,False
295,1526062208,False,19.0,18.0,53,53,19,140,14,False
296,1494950593,True,76.0,27.0,198,198,84,254,14,True
297,1518689918,True,3.0,1.0,19,16,9,29,3,False
299,1514461417,True,17.0,20.0,42,41,21,84,3,False
300,1436772671,True,0.0,0.0,1,0,0,1,1,False
301,1525439160,False,54.0,292.0,146,139,85,735,44,False
302,1494870960,True,2.0,0.0,22,20,2,44,5,False
305,1512626986,True,0.0,0.0,1,1,0,2,1,False
307,1435963050,True,1.0,0.0,4,4,1,4,1,False
309,1506314646,True,0.0,0.0,2,1,1,29,14,False
310,1473004313,True,0.0,0.0,1,1,0,1,1,False
311,1524431866,False,7.0,10.0,32,31,12,119,7,False
312,1477292072,True,0.0,0.0,1,0,0,1,1,False
313,1518898832,True,7.0,2.0,18,18,9,34,6,False
314,1436436965,True,0.0,0.0,7,6,0,11,1,False
315,1495618118,True,0.0,0.0,1,1,0,1,1,False
316,1522007592,True,13.0,10.0,39,38,15,59,5,False
321,1512393537,True,77.0,74.0,191,191,89,454,26,True
322,1459183818,True,4.0,9.0,17,15,6,37,1,False
323,1490870998,True,6.0,36.0,24,21,15,52,2,False
325,1512923166,True,0.0,0.0,1,0,1,1,1,False
326,1454927311,True,0.0,0.0,9,7,0,11,1,False
330,1457935548,True,1.0,0.0,7,8,2,7,2,False
332,1502294211,True,9.0,1.0,30,29,11,76,7,False
333,1440142009,True,0.0,0.0,1,1,0,1,1,False
334,1481630875,True,7.0,11.0,20,20,7,36,2,False
336,1505726685,True,32.0,22.0,77,76,41,163,5,False
337,1525305213,False,2.0,0.0,6,6,2,6,1,False
338,1495099727,True,0.0,0.0,126,110,1,191,3,False
339,1494172634,True,0.0,0.0,7,6,0,7,1,False
340,1459949936,True,2.0,1.0,10,10,3,13,3,False
342,1472912047,True,0.0,0.0,1,0,0,1,1,False
343,1434536661,True,0.0,0.0,14,10,2,18,2,False
344,1524862048,False,28.0,51.0,69,68,35,246,4,False
345,1452216308,True,1.0,5.0,10,9,6,17,2,False
347,1510549116,True,0.0,0.0,1,0,1,1,1,False
350,1435037445,True,11.0,26.0,39,38,13,54,4,False
352,1458503966,True,0.0,0.0,1,0,0,1,1,False
353,1445437345,True,6.0,6.0,21,21,8,37,3,False
354,1435414334,True,0.0,0.0,1,1,0,1,1,False
356,1519677256,True,9.0,11.0,34,33,10,57,4,False
357,1435072573,True,2.0,2.0,11,11,4,12,1,False
358,1444420037,True,0.0,0.0,1,1,0,1,1,False
359,1474361336,True,0.0,0.0,2,2,0,2,1,False
